Interviewer,BlockCode,ParticipantID,Sex,Age,Barley_quintal,GreenPea_bags,Sheep_goat,LandArea_acre
Schaller,Block A,1,M,23,3,10,7,5
Schaller,Block A,2,F,28,0,0,0,0
Schaller,Block A,3,M,60,20,50,0,10
Schaller,Block A,4,M,60,15,60,5,40
Schaller,Block A,5,F,50,3,7,7,0
Schaller,Block A,6,F,60,70,25,9,40
Schaller,Block A,7,F,35,100,60,7,40
Schaller,Block A,8,F,49,7,15,0,5
Schaller,Block A,9,F,40,6,30,10,10
Schaller,Block A,10,M,35,0,0,0,0
Schaller,Block A,11,M,63,3,20,6,4
Schaller,Block A,12,F,70,7,50,14,10
Schaller,Block A,13,F,21,4,40,6,15
Schaller,Block A,14,F,28,6,30,0,20
Schaller,Block A,15,F,44,5,25,7,10
Schaller,Block A,16,M,30,10,90,10,40
Schaller,Block A,17,M,51,10,40,5,11
Schaller,Block A,18,F,26,4,15,0,9
Schaller,Block A,19,F,37,5,40,11,15
Schaller,Block A,20,F,50,3,10,8,3
Schaller,Block A,21,F,51,3,20,12,5
Schaller,Block A,22,F,40,5,50,0,6
Schaller,Block A,23,M,30,3,20,3,7
Schaller,Block A,24,F,34,5,30,4,10
Schaller,Block A,25,M,64,9,70,11,40
Schaller,Block A,26,F,80,5,100,0,15
Schaller,Block A,27,M,42,11,1,0,16
Schaller,Block A,28,M,23,6,40,15,5
Schaller,Block A,29,M,35,2,15,0,0
Schaller,Block A,30,F,45,4,20,7,0
Schaller,Block A,31,F,43,6,25,26,8
Schaller,Block A,32,M,51,4,16,15,5
Schaller,Block A,33,M,40,5,15,13,4
Schaller,Block A,34,M,40,9,50,11,50
Schaller,Block A,35,F,31,2,10,0,0
Schaller,Block A,36,M,41,30,20,12,3
Schaller,Block A,37,M,24,2,25,14,5
Schaller,Block A,38,F,36,3,40,5,15
Schaller,Block A,39,M,46,3,50,5,40
Schaller,Block A,40,F,23,3,20,0,5
Schaller,Block A,41,M,63,6,30,7,15
Schaller,Block A,42,M,58,8,50,0,10
Schaller,Block A,43,M,23,7,40,6,20
Schaller,Block A,44,F,37,9,200,9,40
Schaller,Block A,45,M,45,7,80,0,5
Schaller,Block A,46,M,28,4,30,1,7
Schaller,Block A,47,F,70,20,100,19,50
Schaller,Block A,48,F,50,7,50,0,70
Schaller,Block A,49,F,69,3,25,5,5
Schaller,Block A,50,F,85,3,9,11,3
Schaller,Block A,51,M,37,3,20,14,5
Schaller,Block A,52,M,37,2,10,8,3
Schaller,Block A,53,M,33,3,25,7,7
Schaller,Block A,54,F,28,20,5,0,0
Schaller,Block A,55,F,40,150,30,0,40
Schaller,Block A,56,M,35,150,40,18,50
Schaller,Block A,57,F,45,50,10,0,3
Schaller,Block A,58,F,42,300,45,11,50
Schaller,Block A,59,M,27,20,15,0,3
Schaller,Block A,60,M,61,50,15,5,7
Schaller,Block B,61,F,36,10,20,0,7
Schaller,Block B,62,M,40,20,40,0,6
Schaller,Block B,63,M,51,60,60,2,10
Schaller,Block B,64,M,55,30,25,3,5
Schaller,Block B,65,F,56,120,90,6,20
Schaller,Block B,66,M,45,120,80,4,20
Schaller,Block B,67,M,60,12,70,5,7
Schaller,Block B,68,M,36,60,40,0,8
Schaller,Block B,69,M,47,100,70,3,16
Schaller,Block B,70,F,39,200,100,7,25
Schaller,Block B,71,F,40,50,60,5,8
Schaller,Block B,72,M,34,20,20,12,5
Schaller,Block B,73,F,28,20,50,4,5
Schaller,Block B,74,M,45,70,35,8,8
Schaller,Block B,75,M,68,300,200,19,35
Schaller,Block B,76,M,57,90,80,0,6
Schaller,Block B,77,F,42,200,150,4,20
Schaller,Block B,78,M,35,200,100,0,19
Schaller,Block B,79,M,55,150,60,6,18
Schaller,Block B,80,F,37,10,100,12,60
Schaller,Block B,81,M,24,250,150,6,25
Schaller,Block B,82,M,35,200,130,10,20
Schaller,Block B,83,M,45,110,50,9,8
Schaller,Block B,84,M,24,200,120,5,20
Schaller,Block B,85,M,26,30,20,0,3
Schaller,Block B,86,M,56,200,80,5,19
Schaller,Block B,87,M,41,300,150,0,47
Schaller,Block B,88,F,46,15,100,0,20
Schaller,Block B,89,M,32,20,30,0,4
Schaller,Block B,90,M,38,200,150,21,32
Schaller,Block B,91,M,36,1,15,0,2
Schaller,Block B,92,F,60,20,150,5,25
Schaller,Block B,93,F,30,4,60,0,3
Schaller,Block B,94,M,24,5,80,0,10
Schaller,Block B,95,M,42,21,130,0,35
Schaller,Block B,96,F,54,19,150,0,40
Schaller,Block B,97,F,60,40,250,0,70
Schaller,Block B,98,F,52,14,80,0,25
Schaller,Block B,99,F,40,18,20,12,18
Schaller,Block B,100,M,48,5,60,0,10
Schaller,Block B,101,M,44,18,150,0,25
Schaller,Block B,102,M,40,15,100,10,25
Schaller,Block B,103,M,60,20,150,0,30
Schaller,Block B,104,F,50,2,60,0,9
Schaller,Block B,105,M,48,5,90,5,19
Schaller,Block B,106,M,27,6,80,0,15
Schaller,Block B,107,M,50,5,20,0,5
Schaller,Block B,108,M,39,4,50,0,5
Schaller,Block B,109,F,40,15,80,0,25
Schaller,Block B,110,M,49,10,60,0,15
Schaller,Block B,111,F,69,12,80,4,20
Schaller,Block B,112,F,34,10,70,0,12
Schaller,Block B,113,M,32,2,20,0,5
Schaller,Block B,114,F,22,15,80,0,20
Schaller,Block B,115,F,32,18,100,0,20
Schaller,Block B,116,F,35,0,0,0,0
Schaller,Block B,117,M,36,2,40,0,15
Schaller,Block B,118,M,68,2,10,0,2
Schaller,Block B,119,M,68,12,80,0,25
Schaller,Block B,120,M,56,15,150,0,25
Schaller,Block B,121,M,57,10,50,0,10
Schaller,Block B,122,M,41,4,40,0,7
Schaller,Block B,123,M,33,2,25,0,3
Schaller,Block B,124,M,51,20,80,0,40
Schaller,Block B,125,M,70,10,70,6,18
Schaller,Block B,126,F,30,5,35,9,20
Schaller,Block C,127,M,50,6,70,1,20
Schaller,Block C,128,F,33,20,100,0,7
Schaller,Block C,129,F,23,5,70,6,8
Schaller,Block C,130,F,32,3,30,6,15
Schaller,Block C,131,M,43,3,40,3,2
Schaller,Block C,132,F,24,150,200,2,25
Schaller,Block C,133,M,30,200,200,1,35
Schaller,Block C,134,F,26,0,50,1,5
Schaller,Block C,135,F,48,12,100,0,42
Schaller,Block C,136,F,80,30,30,1,4
Schaller,Block C,137,F,23,50,110,4,18
Schaller,Block C,138,F,37,50,80,2,9
Schaller,Block C,139,M,28,250,200,1,20
Schaller,Block C,140,M,37,30,40,1,4
Schaller,Block C,141,M,32,6,50,0,10
Schaller,Block C,142,M,31,10,170,1,30
Schaller,Block C,143,M,39,50,100,9,10
Schaller,Block C,144,F,53,7,80,0,15
Schaller,Block C,145,M,31,40,50,4,6
Schaller,Block C,146,F,40,40,25,5,7
Schaller,Block C,147,F,36,2,20,0,5
Schaller,Block C,148,M,40,50,100,3,7
Schaller,Block C,149,M,25,1.5,70,0,16
Schaller,Block C,150,M,68,4,15,0,5
Schaller,Block C,151,F,80,3,40,1,2
Schaller,Block C,152,F,35,5,50,2,35
Schaller,Block C,153,M,26,20,40,4,3
Schaller,Block C,154,M,37,0,50,0,3
Schaller,Block C,155,M,31,80,138,0,15
Schaller,Block C,156,M,36,40,90,1,9
Schaller,Block C,157,F,37,0,20,0,3
Schaller,Block C,158,M,37,0,90,1,10
Schaller,Block C,159,F,39,100,90,0,10
Schaller,Block C,160,M,25,120,200,2,60
Schaller,Block C,161,M,30,20,70,2,4
Schaller,Block C,162,M,30,0,0,0,0
Schaller,Block C,163,F,43,3,70,5,10
Schaller,Block C,164,M,37,2,70,0,4
Schaller,Block C,165,M,40,2,20,0,2
Schaller,Block C,166,F,60,0,0,1,0
Schaller,Block C,167,F,80,10,100,2,10
Schaller,Block C,168,M,37,20,50,4,5
Schaller,Block C,169,M,36,20,30,0,5
Schaller,Block C,170,F,40,20,30,3,5
Schaller,Block C,171,M,43,50,30,0,8
Schaller,Block C,172,M,70,200,100,0,20
Schaller,Block C,173,M,45,90,70,0,7
Schaller,Block C,174,F,31,5,50,9,6
Schaller,Block C,175,F,56,1,20,4,3
Schaller,Block C,176,F,60,2,20,1,3
Schaller,Block C,177,F,43,2,10,0,5
Schaller,Block C,178,M,28,70,80,0,6
Schaller,Block C,179,M,30,20,50,5,5
Schaller,Block C,180,M,72,60,30,5,10
Schaller,Block C,181,M,24,100,80,3,7
Schaller,Block C,182,F,65,1,10,3,2
Schaller,Block C,183,F,40,50,100,4,20
Schaller,Block C,184,M,55,20,30,2,10
Schaller,Block C,185,F,20,50,60,7,20
Schaller,Block C,186,F,24,0,60,3,3
Schaller,Block C,187,M,23,70,130,12,20
Schaller,Block C,188,F,75,0,9,0,2
Schaller,Block C,189,M,29,20,35,0,5
Schaller,Block C,190,F,40,3,10,0,4
Schaller,Block C,191,F,50,1,30,2,5
Schaller,Block C,192,M,38,7,300,7,35
Schaller,Block C,193,M,24,3,70,0,5
Schaller,Block C,194,M,38,1,100,2,9
Schaller,Block C,195,M,55,2,3,0,5
Schaller,Block C,196,M,51,10,70,7,7
Schaller,Block D,197,M,68,150,80,0,30
Schaller,Block D,198,M,39,30,80,0,20
Schaller,Block D,199,M,60,150,100,0,22
Schaller,Block D,200,M,52,50,25,0,20
Schaller,Block D,201,M,51,60,40,0,20
Schaller,Block D,202,M,53,40,50,0,25
Schaller,Block D,203,M,34,30,50,0,15
Schaller,Block D,204,F,55,20,25,0,5
Schaller,Block D,205,M,31,20,50,0,16
Schaller,Block D,206,F,40,30,15,0,9
Schaller,Block D,207,F,49,30,20,0,10
Schaller,Block D,208,M,28,20,30,0,10
Schaller,Block D,209,M,48,2,40,0,12
Schaller,Block D,210,M,55,20,20,0,10
Schaller,Block D,211,M,43,0,0,0,2
Schaller,Block D,212,F,41,20,20,0,0
Schaller,Block D,213,F,70,30,40,0,20
Schaller,Block D,214,M,19,100,100,25,50
Schaller,Block D,215,F,60,5,9,10,5
Schaller,Block D,216,M,55,2,15,8,20
Schaller,Block D,217,M,27,0,15,11,5
Schaller,Block D,218,M,30,15,100,14,40
Schaller,Block D,219,M,50,3,20,0,15
Schaller,Block D,220,F,40,1,30,10,5
Schaller,Block D,221,F,26,0,0,13,5
Schaller,Block D,222,M,75,10,10,13,8
Schaller,Block D,223,F,27,3,50,13,5
Schaller,Block D,224,M,36,40,25,14,10
Schaller,Block D,225,M,28,10,25,19,5
Schaller,Block D,226,M,58,20,20,26,10
Schaller,Block D,227,M,22,120,110,56,35
Schaller,Block D,228,M,37,40,100,21,15
Schaller,Block D,229,M,44,30,50,16,15
Schaller,Block D,230,F,49,50,45,21,20
Schaller,Block D,231,F,50,30,150,23,20
Schaller,Block D,232,F,25,0,40,0,5
Schaller,Block D,233,M,71,20,70,24,20
Schaller,Block D,234,F,28,3,40,10,4
Schaller,Block D,235,F,70,0,0,12,0
Schaller,Block D,236,M,80,100,100,47,20
Schaller,Block D,237,M,50,30,15,16,5
Schaller,Block D,238,M,60,0,12,8,7
Schaller,Block D,239,M,73,40,40,0,25
Schaller,Block D,240,F,40,40,50,0,10
Schaller,Block D,241,M,50,70,50,0,18
Schaller,Block D,242,M,40,110,100,0,30
Schaller,Block D,243,M,45,40,80,0,20
Schaller,Block D,244,M,38,100,200,0,30
Schaller,Block D,245,M,45,0,30,0,5
Schaller,Block D,246,M,53,60,100,0,15
Schaller,Block D,247,M,38,60,60,0,12
Schaller,Block D,248,M,42,80,90,0,20
Schaller,Block D,249,M,35,100,90,0,15
Schaller,Block D,250,F,60,0,0,0,0
Schaller,Block D,251,M,32,0,0,0,8
Schaller,Block D,252,M,40,0,0,0,5
Schaller,Block D,253,M,40,0,0,0,12
Schaller,Block D,254,M,43,0,0,0,5
Schaller,Block D,255,M,40,20,40,0,5
Schaller,Block D,256,M,68,40,50,0,9
Schaller,Block D,257,M,40,100,100,0,25
Schaller,Block D,258,M,35,50,70,0,20
Schaller,Block D,259,F,40,0,0,0,2
Schaller,Block D,260,M,49,0,30,0,7
Schaller,Block E,261,F,20,2,10,4,5
Schaller,Block E,262,M,41,4,55,17,9
Schaller,Block E,263,M,35,4,20,10,5
Schaller,Block E,264,M,55,60,25,4,3
Schaller,Block E,265,M,23,15,70,14,25
Schaller,Block E,266,M,52,7,40,9,33
Schaller,Block E,267,F,25,3,15,8,20
Schaller,Block E,268,M,25,3,20,11,7
Schaller,Block E,269,F,31,2,9,14,0
Schaller,Block E,270,M,19,7,10,26,15
Schaller,Block E,271,F,55,2,15,11,4
Schaller,Block E,272,F,23,25,70,26,30
Schaller,Block E,273,F,30,15,80,10,30
Schaller,Block E,274,M,56,2,12,11,0
Schaller,Block E,275,M,39,3,14,6,0
Schaller,Block E,276,F,50,5,40,13,30
Schaller,Block E,277,F,21,5,15,11,2
Schaller,Block E,278,F,70,5,10,5,1
Schaller,Block E,279,M,31,10,40,21,5
Schaller,Block E,280,F,40,3,15,10,15
Schaller,Block E,281,F,29,15,60,14,20
Schaller,Block E,282,F,30,2,11,7,2
Schaller,Block E,283,F,39,1,4,7,0
Schaller,Block E,284,F,40,5,50,12,25
Schaller,Block E,285,F,70,3,10,7,4
Schaller,Block E,286,M,50,2,20,5,3
Schaller,Block E,287,F,60,0,20,8,6
Schaller,Block E,288,M,55,4,30,0,5
Schaller,Block E,289,M,55,2,20,18,4
Schaller,Block E,290,M,28,3,30,9,5
Schaller,Block E,291,F,22,4,40,6,5
Schaller,Block E,292,F,26,3,10,8,7
Schaller,Block E,293,F,40,2,10,4,0
Schaller,Block E,294,F,81,3,20,8,5
Schaller,Block E,295,F,79,3,10,9,3
Schaller,Block E,296,F,40,5,40,9,5
Schaller,Block E,297,F,25,2,20,7,5
Schaller,Block E,298,F,25,3,20,9,7
Schaller,Block E,299,F,60,2,5,4,1
Schaller,Block E,300,M,28,5,50,11,50
Schaller,Block E,301,M,75,0,0,0,0
Schaller,Block E,302,M,37,2,10,3,2
Schaller,Block E,303,F,30,1,10,10,5
Schaller,Block E,304,M,40,2,40,10,6
Schaller,Block E,305,M,55,7,70,14,40
Schaller,Block E,306,M,58,7,90,9,60
Schaller,Block E,307,F,41,2,5,12,5
Schaller,Block E,308,F,60,2,20,8,5
Schaller,Block E,309,M,34,8,70,6,45
Schaller,Block E,310,M,53,7,70,7,30
Schaller,Block E,311,F,36,2,10,10,5
Schaller,Block E,312,M,53,3,20,10,2
Schaller,Block E,313,M,22,2,20,9,5
Schaller,Block E,314,F,73,6,30,18,5
Schaller,Block E,315,F,30,3,10,19,0
Schaller,Block E,316,F,33,15,85,20,25
Schaller,Block E,317,F,40,1,30,12,7
Schaller,Block E,318,M,42,8,100,18,15
Schaller,Block E,319,M,22,18,100,40,55
Schaller,Block E,320,M,31,4,15,19,5
Schaller,Block E,321,F,47,3,10,5,0
Schaller,Block E,322,F,60,15,30,16,10
Schaller,Block E,323,F,45,17,80,30,20
Schaller,Block E,324,F,32,12,50,15,25
Schaller,Block E,325,F,62,15,80,10,20
Mat,Block F,326,F,35,30,120,3,25
Mat,Block F,327,M,35,10,20,0,2
Mat,Block F,328,M,45,0,70,0,15
Mat,Block F,329,F,40,40,20,0,2
Mat,Block F,330,M,37,40,35,0,5
Mat,Block F,331,F,33,10,50,1,5
Mat,Block F,332,F,36,0,60,0,5
Mat,Block F,333,F,40,15,20,3,2
Mat,Block F,334,M,34,90,150,0,35
Mat,Block F,335,F,47,80,100,0,25
Mat,Block F,336,M,46,NA,30,0,4
Mat,Block F,337,M,24,NA,20,0,2
Mat,Block F,338,M,47,NA,150,6,35
Mat,Block F,339,F,37,NA,150,8,30
Mat,Block F,340,M,30,NA,30,6,6
Mat,Block F,341,F,51,NA,70,0,9
Mat,Block F,342,M,71,NA,60,0,10
Mat,Block F,343,F,26,NA,25,0,5
Mat,Block F,344,M,34,NA,50,0,6
Mat,Block F,345,M,40,NA,20,0,5
Mat,Block F,346,F,45,NA,40,0,8
Mat,Block F,347,F,50,NA,90,0,7
Mat,Block F,348,M,65,NA,50,0,8
Mat,Block F,349,M,41,NA,15,0,5
Mat,Block F,350,F,40,NA,40,0,7
Mat,Block F,351,M,41,NA,40,0,7
Mat,Block F,352,F,31,NA,50,0,8
Mat,Block F,353,M,45,NA,15,7,0
Mat,Block F,354,F,49,NA,20,0,5
Mat,Block F,355,M,60,NA,200,0,70
Mat,Block F,356,F,29,NA,40,0,8
Mat,Block F,357,F,27,NA,150,0,40
Mat,Block F,358,M,60,NA,40,6,6
Mat,Block F,359,F,31,NA,60,0,8
Mat,Block F,360,M,24,NA,70,0,5
Mat,Block F,361,M,23,NA,150,0,30
Mat,Block F,362,M,44,NA,40,0,9
Mat,Block F,363,F,53,NA,180,0,50
Mat,Block F,364,F,35,NA,40,0,8
Mat,Block F,365,M,53,NA,30,0,3
Mat,Block F,366,F,28,NA,35,0,4
Mat,Block F,367,M,40,NA,40,0,15
Mat,Block F,368,F,45,NA,65,0,5
Mat,Block F,369,M,34,NA,25,0,5
Mat,Block F,370,F,25,NA,50,12,20
Mat,Block F,371,M,47,NA,30,0,5
Mat,Block F,372,M,26,NA,15,0,5
Mat,Block F,373,F,60,NA,10,0,0
Mat,Block F,374,M,59,NA,50,14,25
Mat,Block F,375,F,36,NA,30,0,8
Mat,Block F,376,M,55,NA,40,0,0
Mat,Block F,377,F,36,NA,20,0,5
Mat,Block F,378,M,41,NA,50,0,25
